TruMedia,Trackman,School,ConferenceFull,Conference,ClassSchool,Ncaa Name
Southern Illinois University,SIU_SAL,Southern Illinois,D1 Missouri Valley Conference,MVC,Southern IL,Southern Illinois University at Carbondale
University of Southern Indiana,SOU_IND16,Southern Indiana,D1 Ohio Valley Conference,Ohio,Southern IN,University of Southern Indiana
The University of Southern Mississippi,SOU_GOL,Southern Miss,D1 Sun Belt Conference,Sun Belt,Southern MS,The University of Southern Mississippi
St. Bonaventure University,STB_BON,St. Bonaventure,D1 Atlantic 10 Conference,A-10,Bonaventure,St. Bonaventure University
St. John's University (NY),STJ_RED,St. John's,D1 Big East Conference,Big East,St. John's,St. John's University (New York)
Saint Louis University,SLU_BILL,St. Louis,D1 Atlantic 10 Conference,A-10,Saint Louis,Saint Louis University
Stanford University,STA_CAR,Stanford,D1 Atlantic Coast Conference,ACC,Stanford,Stanford University
Stephen F. Austin State University,STE_LUM,Stephen F. Austin State,D1 Southland Conference,SLC,SFA,Stephen F. Austin State University
Stetson University,STE_HAT,Stetson,D1 Atlantic Sun Conference,ASUN,Stetson,Stetson University
Stonehill College,STO_COL,Stonehill,D1 Northeast Conference,NEC,Stonehill,Stonehill College
Stony Brook University,SBU_SEA,Stony Brook,D1 Coastal Athletic Association,CAA,Stony Brook,Stony Brook University
Tarleton State University,TAR_TEX,Tarleton State,D1 Western Athletic Conference,WAC,Tarleton St.,Tarleton State University
Texas Christian University,TCU_HFG,TCU,D1 Big 12 Conference,Big 12,TCU,Texas Christian University
University of Tennessee,TEN_VOL,Tennessee,D1 Southeastern Conference,SEC,Tennessee,"University of Tennessee, Knoxville"
Tennessee Technological University,TEN_TEC,Tennessee Tech,D1 Ohio Valley Conference,Ohio,TN Tech,Tennessee Technological University
University of Texas,TEX_LON,Texas,D1 Southeastern Conference,SEC,Texas,University of Texas at Austin
Texas A&M University,TEX_AGG,Texas A&M,D1 Southeastern Conference,SEC,Texas A&M,"Texas A&M University, College Station"
Texas A&M-Corpus Christi,TEX_ISL,Texas A&M-Corpus Christi,D1 Southland Conference,SLC,TAMU-CC,Texas A&M University-Corpus Christi
Texas Southern University,TEX_TIG,Texas Southern,D1 Southwestern Athletic Conf.,SWAC,TX Southern,Texas Southern University
Texas State University,TEX_BOB,Texas State,D1 Sun Belt Conference,Sun Belt,Texas State,Texas State University
Texas Tech University,TEX_RAI,Texas Tech,D1 Big 12 Conference,Big 12,Texas Tech,Texas Tech University
The Citadel,CIT_BUL,The Citadel,D1 Southern Conference,SoCon,Citadel,The Citadel
University of Toledo,TOL_ROC,Toledo,D1 Mid-American Conference,MAC,Toledo,University of Toledo
Towson University,TOW_TIG,Towson,D1 Coastal Athletic Association,CAA,Towson,Towson University
