TruMedia,Trackman,School,ConferenceFull,Conference,ClassSchool,Ncaa Name
Louisiana Tech University,LOU_BUL,Louisiana Tech,D1 Conference USA,CUSA,LA Tech,Louisiana Tech University
University of Louisville,LOU_CAR,Louisville,D1 Atlantic Coast Conference,ACC,Louisville,University of Louisville
Loyola Marymount University,LOY_LIO,Loyola Marymount,D1 West Coast Conference,WCC,LMU,Loyola Marymount University
University of Maine,MAI_BLA,Maine,D1 America East Conference,AmEast,Maine,University of Maine
Manhattan College,MAN_JAS,Manhattan,D1 Metro Atlantic Athletic Conference,MAAC,Manhattan,Manhattan College
Marist College,MAR_RED,Marist,D1 Metro Atlantic Athletic Conference,MAAC,Marist,Marist College
Marshall University,MAR_THU,Marshall,D1 Sun Belt Conference,Sun Belt,Marshall,Marshall University
University of Maryland-College Park,MAR_TER,Maryland,D1 Big Ten Conference,Big 10,Maryland,"University of Maryland, College Park"
University of Maryland Eastern Shore,MAR_HAW,Maryland Eastern Shore,D1 Northeast Conference,NEC,UMES,University of Maryland Eastern Shore
McNeese State University,MCN_COW,McNeese State,D1 Southland Conference,SLC,McNeese,McNeese State University
University of Memphis,MT,Memphis,D1 American Athletic Conference,AAC,Memphis,University of Memphis
Mercer University,MER_BEA,Mercer,D1 Southern Conference,SoCon,Mercer,Mercer University
Merrimack College,MER_COL1,Merrimack,D1 Northeast Conference,NEC,Merrimack,Merrimack College
University of Miami,MIA_HUR,Miami,D1 Atlantic Coast Conference,ACC,UMiami,University of Miami
Miami University (Ohio),MIA_RED,Miami (OH),D1 Mid-American Conference,MAC,Miami OH,Miami University (Ohio)
University of Michigan,MIC_WOL,Michigan,D1 Big Ten Conference,Big 10,Michigan,University of Michigan
Michigan State University,MIC_SPA,Michigan State,D1 Big Ten Conference,Big 10,Michigan St.,Michigan State University
Middle Tennessee State University,MTSU_BLU,Middle Tennessee State,D1 Conference USA,CUSA,Middle TN,Middle Tennessee State University
University of Wisconsin-Milwaukee,UWM_PAN,Milwaukee,D1 Horizon League,Horizon,Milwaukee,University of Wisconsin-Milwaukee
University of Minnesota,MIN_GOL,Minnesota,D1 Big Ten Conference,Big 10,Minnesota,"University of Minnesota, Twin Cities"
Mississippi State University,MSU_BDG,Mississippi State,D1 Southeastern Conference,SEC,MS State,Mississippi State University
Mississippi Valley State University,MIS_DEL,Mississippi Valley State,D1 Southwestern Athletic Conf.,SWAC,MS Valley,Mississippi Valley State University
University of Missouri,MIZ_TIG,Missouri,D1 Southeastern Conference,SEC,Mizzou,"University of Missouri, Columbia"
Missouri State University,MIS_BEA,Missouri State,D1 Missouri Valley Conference,MVC,Missouri St.,Missouri State University
Monmouth University,MON_HAW,Monmouth,D1 Coastal Athletic Association,CAA,Monmouth,Monmouth University
Morehead State University,MOR_EAG,Morehead State,D1 Ohio Valley Conference,Ohio,Morehead,Morehead State University
Mount St. Mary's University,MSM_MTN,Mount St. Mary's,D1 Metro Atlantic Athletic Conference,MAAC,The Mount,Mount St. Mary's University
Murray State University,MUR_RAC,Murray State,D1 Missouri Valley Conference,MVC,Murray St.,Murray State University
U.S. Naval Academy,NAV_MID,Navy,D1 Patriot League,Patriot,Navy,U.S. Naval Academy
University of Nebraska,NEB,Nebraska,D1 Big Ten Conference,Big 10,Nebraska,University of Nebraska-Lincoln
University of Nevada,NEV_WOL,Nevada,D1 Mountain West Conference,MWC,Nevada,"University of Nevada, Reno"
University of New Mexico,MEX_LOB,New Mexico,D1 Mountain West Conference,MWC,New Mexico,University of New Mexico
New Mexico State University,NMS_AGG,New Mexico State,D1 Conference USA,CUSA,NM State,New Mexico State University
University of New Orleans,NEW_PRI,New Orleans,D1 Southland Conference,SLC,New Orleans,University of New Orleans
Niagara University,NIA_EAG,Niagara,D1 Metro Atlantic Athletic Conference,MAAC,Niagara,Niagara University
Nicholls State University,NIC_COL,Nicholls State,D1 Southland Conference,SLC,Nicholls,Nicholls State University
New Jersey Institute of Technology,NJI_HIG,NJIT,D1 America East Conference,AmEast,NJIT,New Jersey Institute of Technology
Norfolk State University,NOR_SPA,Norfolk State,D1 Northeast Conference,NEC,Norfolk St.,Norfolk State University
University of North Alabama,ALA_LIO,North Alabama,D1 Atlantic Sun Conference,ASUN,North AL,University of North Alabama
University of North Carolina,NOR_TAR,North Carolina,D1 Atlantic Coast Conference,ACC,UNC,"University of North Carolina, Chapel Hill"
North Carolina A&T State University,NOR_AGG,North Carolina A&T,D1 Coastal Athletic Association,CAA,NC A&T,North Carolina A&T State University
North Carolina State University,NOR_WOL,North Carolina State,D1 Atlantic Coast Conference,ACC,NC State,North Carolina State University
North Dakota State University,NOR_BIS,North Dakota State,D1 The Summit League,Summit,ND State,North Dakota State University
University of North Florida,NOF_OSP,North Florida,D1 Atlantic Sun Conference,ASUN,North FL,University of North Florida
Northeastern University,NOR_HUS,Northeastern,D1 Coastal Athletic Association,CAA,N-Eastern,Northeastern University
University of Northern Colorado,NCB,Northern Colorado,D1 The Summit League,Summit,Northern CO,University of Northern Colorado
